Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,24,0.941523967,86.45220101,0.040321528,79.91084447,80.72977321,81.99171445,84.10289217,86.45220101,88.80524943,90.92619137,92.19687928,93.02265441
1,24.5,1.00720807,86.86160934,0.040395626,80.26037074,81.08868489,82.36400989,84.49470553,86.86160934,89.22804829,91.35753004,92.63176749,93.45923029
1,25.5,0.837251351,87.65247282,0.040577525,81.0052937,81.83445202,83.11387064,85.25887745,87.65247282,90.05675457,92.22966054,93.53406648,94.38278047
1,26.5,0.681492975,88.42326434,0.040723122,81.7341574,82.56406112,83.84716151,86.0051731,88.42326434,90.8626041,93.07608163,94.40884914,95.27761711
1,27.5,0.538779654,89.17549228,0.040833194,82.44845648,83.27898582,84.56534433,86.73506945,89.17549228,91.64711353,93.89827114,95.25754106,96.14511823
1,28.5,0.407697153,89.91040853,0.040909059,83.14944982,83.98045262,85.26961974,87.44977223,89.91040853,92.41159029,94.69757027,96.08148848,96.98662531
1,29.5,0.286762453,90.62907762,0.040952433,83.83819399,84.66948449,85.96098331,88.15028421,90.62907762,93.15718995,95.47522083,96.88197981,97.8034532
1,30.5,0.174489485,91.33242379,0.04096533,84.51558277,85.3469433,86.64027154,88.83745411,91.33242379,93.88495599,96.23239427,97.66026663,98.59690538
1,31.5,0.069444521,92.02127167,0.040949976,85.18238019,86.01356554,87.30820085,89.5120186,92.02127167,94.59585394,96.97021533,98.4175791,99.36828331
1,32.5,-0.029720564,92.69637946,0.040908737,85.83925011,86.66999332,87.96540055,90.17463683,92.69637946,95.29079906,97.68978097,99.15513792,100.1188932
